AlaAGC-1-1	chr6.tRNA108-AlaAGC
TrpCCA-1-2	chr9.tRNA3-TrpCCA
TrpCCA-1-3	chr17.tRNA39-TrpCCA
TrpCCA-1-4	chr11.tRNA19-TrpCCA
TrpCCA-1-5	chr7.tRNA1-TrpCCA
TrpCCA-1-6	chr12.tRNA6-TrpCCA
TrpCCA-3-1	chr6.tRNA170-TrpCCA:chr6.tRNA168-TrpCCA:chr17.tRNA6-TrpCCA
TyrATA-1-1	chr2.tRNA14-TyrATA
TyrGTA-1-1	chr8.tRNA5-TyrGTA
TyrGTA-1-10	chr6.tRNA16-TyrGTA
TyrGTA-1-11	chr8.tRNA12-TyrGTA
TyrGTA-1-12	chr6.tRNA17-TyrGTA
TyrGTA-1-13	chr6.tRNA15-TyrGTA
TyrGTA-1-14	chr14.tRNA17-TyrGTA
TyrGTA-1-2	chr14.tRNA5-TyrGTA
TyrGTA-1-3	chr14.tRNA18-TyrGTA
TyrGTA-1-4	chr7.tRNA9-TyrGTA
TyrGTA-1-5	chr8.tRNA4-TyrGTA
TyrGTA-1-6	chr2.tRNA2-TyrGTA
TyrGTA-1-7	chr14.tRNA16-TyrGTA
TyrGTA-1-8	chr6.tRNA14-TyrGTA
TyrGTA-1-9	chr14.tRNA19-TyrGTA
Undet???-1-1	chr6.tRNA26-Undet???
Undet???-1-2	chr8.tRNA8-Undet???
Undet???-1-3	chr17.tRNA22-Undet???
ValAAC-1-1	chr6.tRNA37-ValAAC
ValAAC-1-2	chr5.tRNA15-ValAAC
ValAAC-1-3	chr6.tRNA115-ValAAC
ValAAC-1-4	chr1.tRNA63-ValAAC
ValAAC-1-5	chr6.tRNA139-ValAAC
ValAAC-1-6	chr6.tRNA136-ValAAC
ValAAC-5-1	chr3.tRNA2-ValAAC:chr5.tRNA4-ValAAC:chr5.tRNA5-ValAAC:chr5.tRNA12-ValAAC:chr6.tRNA132-ValAAC
ValCAC-1-1	chr6.tRNA157-ValCAC
ValCAC-1-10	chr6.tRNA133-ValCAC
ValCAC-1-2	chr1.tRNA130-ValCAC
ValCAC-1-3	chr6.tRNA58-ValCAC
ValCAC-1-4	chr1.tRNA99-ValCAC
ValCAC-1-5	chr1.tRNA90-ValCAC
ValCAC-1-6	chr19.tRNA13-ValCAC
ValCAC-1-7	chr6.tRNA32-ValCAC
ValCAC-1-8	chr1.tRNA98-ValCAC
ValCAC-1-9	chr6.tRNA152-ValCAC
ValCAC-6-1	chr1.tRNA85-ValCAC:chr5.tRNA2-ValCAC:chr5.tRNA18-ValCAC:chr5.tRNA6-ValCAC:chr5.tRNA10-ValCAC:chr6.tRNA9-ValCAC
ValTAC-1-1	chr6.tRNA40-ValTAC
ValTAC-1-2	chr10.tRNA6-ValTAC
ValTAC-1-3	chr11.tRNA16-ValTAC
ValTAC-2-1	chrX.tRNA4-ValTAC:chr11.tRNA17-ValTAC
